HSSS,KHARTOUM,30.145706,14.007632
HRYR,KIGALI,29.919954,-1.99718
MKJK,KINGSTON,-78.288382,17.249251
FZZA,KINSHASA,23.753302,-2.620254
EKDK,KOBENHAVN,9.085166,56.156614
VECF,KOLKATA,87.437742,22.250168
WBFC,KOTA KINABALU,114.171508,4.250018
ULKK,KOTLAS,45.092194,61.562988
UNKL,KRASNOYARSK,95.069158,67.371527
WMFC,KUALA LUMPUR,99.459622,5.60191
ZPKM,KUNMING,97.37622,29.376915
OKAC,KUWAIT,48.212379,29.236518
UKBV,KYIV,30.888494,50.083141
UKLV,L VIV,25.291738,49.767979
SLLF,LA PAZ,-64.669812,-16.714228
OPLR,LAHORE,72.157578,33.045617
EDGG,LANGEN,8.374179,50.141793
ZLHW,LANZHOU,100.071841,36.977798
FWLL,LILONGWE,34.288111,-13.364121
SPIM,LIMA,-80.097959,-10.890897
LPPC,LISBOA,-12.283249,37.802078
LJLA,LJUBLJANA,14.812101,46.11687
EGTT,LONDON,-2.034861,52.356212
KZLA,LOS ANGELES,-117.309234,34.694103
FNAN,LUANDA,7.422973,-12.525975
FLFI,LUSAKA,27.781819,-13.498828
LECM,MADRID,-5.590445,40.989562
UHMM,MAGADAN  EAST,164.066717,64.423577
UHMM,MAGADAN WEST,-174.954162,67.475098
UHMM,MAGADAN OCEANIC EAST,155.151266,78.020013
UHMM,MAGADAN OCEANIC WEST,-174.389655,79.507635
SVZM,MAIQUETIA,-66.167752,8.355366
VRMF,MALE,73.060267,0.321102
LMMM,MALTA,16.485226,35.332152
RPHI,MANILA,122.871244,12.719916
LFMM,MARSEILLE,5.925024,42.845466
FIMM,MAURITIUS,65.907403,-25.568028
MMFO,MAZATLAN OCEANIC,-113.526675,15.573232
YMMM,MELBOURNE,114.207491,-52.9092
KZME,MEMPHIS,-90.00595,34.956507
SAMF,MENDOZA,-68.152439,-34.014675
MMFR,MEXICO,-102.199436,22.581376
KZMA,MIAMI,-80.523904,26.948811
KZMA,MIAMI OCEANIC,-74.276948,23.857887
LIMM,MILANO,10.502868,45.030564
KZMP,MINNEAPOLIS,-94.337351,45.26004
